CIF,Client Type,Name,Country,Transit,Address1,Address2,Address3,Address4,Email Address,Box Link,Telephone Contact,Risk Rating,Case Status,Current Case Status,Business Documents Outstanding,Entity Self-Certification Form Outstanding,UBOID Outstanding,UBO-Proof of Address Outstanding,UBO in order,ROS officer,File Review Date,1st Notice Date,1st Notice Type,2nd Notice Date,2nd Notice Type,3rd Notice Date,3rd Notice Type,Notification Expiry date,Refresh date (Last KYC),Next KYC Refresh date,Restraint date,Exception date,Exception expiry date,Updates to ICN,Updates on Core,Portfolio
814979421,Personal,Allison Hill,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,allison.hill@example.com,https://box.com/v/client-docs-0,218.196.0013,MEDIUM,Due for Restrain,Due for Restrain,YES,NO,YES,YES,YES,Lance Hoffman,2022-08-17,2022-07-28,EMAIL,2022-08-07,EMAIL,2022-08-17,LETTER,2022-09-01,2022-07-18,2025-07-17,2022-09-16,,,YES,YES,Private Wealth
854319960,Personal,Meredith Barnes,Trinidad and Tobago,05342,Lot 12,La Seiva Road,"Maraval, Port of Spain",Trinidad and Tobago,meredith.barnes@example.com,https://box.com/v/client-docs-1,940.265.4235x116,MEDIUM,Out Of Order,Out Of Order,NO,NO,NO,YES,YES,Ryan Munoz,2023-08-08,2023-07-19,PHONE CALL,2023-07-29,EMAIL,2023-08-08,EMAIL,2023-08-23,2023-07-09,2026-07-08,,2023-09-17,2023-10-07,NO,YES,Business Clients
835985660,Personal,Monica Herrera,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,monica.herrera@example.com,https://box.com/v/client-docs-2,(184)959-3103x4131,STANDARD,Pending Compliance Approval,Pending Compliance Approval,YES,NO,NO,YES,YES,Jesse Flowers,2021-04-29,2021-04-09,EMAIL,2021-04-19,LETTER,2021-04-29,EMAIL,2021-05-14,2021-03-30,2024-03-29,,,,NO,YES,Premier Clients - Retail
842660062,Business,Henry Santiago,Bahamas,05625,#22,Queens Highway,"George Town, Exuma",The Bahamas,henry.santiago@example.com,https://box.com/v/client-docs-3,001-192-832-7648x350,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,NO,NO,YES,NO,YES,Andrew Stewart,2022-08-23,2022-08-03,LETTER,2022-08-13,LETTER,2022-08-23,EMAIL,2022-09-07,2022-07-24,2025-07-23,,,,YES,YES,Business Clients
856562836,Personal,Daniel Hahn,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,daniel.hahn@example.com,https://box.com/v/client-docs-4,001-537-672-4238x849,MEDIUM,Out Of Order,Out Of Order,YES,NO,NO,NO,YES,Kevin Cox,2022-04-25,2022-04-05,EMAIL,2022-04-15,LETTER,2022-04-25,LETTER,2022-05-10,2022-03-26,2025-03-25,,2022-06-04,2022-06-24,NO,YES,Private Wealth
817775809,Personal,Brenda Snyder PhD,Trinidad and Tobago,05342,Apt 3B,Southern Main Road,"Curepe, Tunapuna",Trinidad and Tobago,brenda.snyder.phd@example.com,https://box.com/v/client-docs-5,226-916-6978,MEDIUM,Due for Restrain,Due for Restrain,NO,NO,NO,NO,YES,Juan Dunlap,2023-08-28,2023-08-08,EMAIL,2023-08-18,LETTER,2023-08-28,PHONE CALL,2023-09-12,2023-07-29,2026-07-28,2023-09-27,,,YES,YES,Premier Clients - Retail
825821299,Business,Ashley Dyer,Curacao,AN0806100,Kaya Seru Grandi 15,,Willemstad,Curacao,ashley.dyer@example.com,https://box.com/v/client-docs-6,001-451-462-7048x28148,STANDARD,Refresh Coming Due,Refresh Coming Due,NO,YES,YES,NO,NO,Brittany Farmer,2023-06-14,2023-05-25,EMAIL,2023-06-04,PHONE CALL,2023-06-14,PHONE CALL,2023-06-29,2023-05-15,2026-05-14,,,,YES,NO,Premier Clients - Retail
858419514,Business,Paula Moreno,Barbados,09488,#5,Dayrells Road,"Oistins, Christ Church",Barbados,paula.moreno@example.com,https://box.com/v/client-docs-7,9570154303,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,NO,YES,YES,NO,Theresa Miller,2023-12-06,2023-11-16,PHONE CALL,2023-11-26,EMAIL,2023-12-06,EMAIL,2023-12-21,2023-11-06,2026-11-05,,,,NO,NO,Premier Clients - Retail
849117489,Business,Mr. Philip Cannon,Bahamas,05625,#9,East Street,"Nassau, New Providence",The Bahamas,mr..philip.cannon@example.com,https://box.com/v/client-docs-8,(782)489-6383,MEDIUM,Refresh Coming Due,Refresh Coming Due,YES,YES,NO,YES,NO,Jennifer Powers,2021-07-11,2021-06-21,LETTER,2021-07-01,LETTER,2021-07-11,PHONE CALL,2021-07-26,2021-06-11,2024-06-10,,,,YES,YES,Private Wealth
834733928,Business,Steven Hayes,Barbados,09488,Lot 14,Grazettes Industrial Park,"Bridgetown, St. Michael",Barbados,steven.hayes@example.com,https://box.com/v/client-docs-9,315.098.3930,MEDIUM,Pending Compliance Approval,Pending Compliance Approval,YES,YES,YES,NO,YES,Mark Perez,2023-03-06,2023-02-14,LETTER,2023-02-24,LETTER,2023-03-06,EMAIL,2023-03-21,2023-02-04,2026-02-03,,,,YES,YES,Premier Clients - Retail
